lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
16325,lykja,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to put an end to</i> (hvatki er lífi hans hefir lukt).</div>",to put an end to (hvatki er lífi hans hefir lukt).,\N
16326,lykkja,\N,main,[lykːja],n.,f.,"<div class=""oldnorse bodytext""><i>loop, coil</i> of a rope, etc. (hann hafði ok dregr á hönd sér); gera ~ á leiðinni, <i>to put an end to one’s journey, to stop</i>; <i>coil</i> of a serpent (ormr með lykkju mikilli ok breiðum sporði).</div>","loop, coil of a rope, etc. (hann hafði ok dregr á hönd sér); gera ~ á leiðinni, to put an end to one’s journey, to stop; coil of a serpent (ormr með lykkju mikilli ok breiðum sporði).","loop, coil"
16327,lykkjóttr,\N,main,[lykːjoːtːr],adj.,\N,"<div class=""oldnorse bodytext""><i>looped, curved</i>.</div>","looped, curved.","looped, curved"
16328,lykklauss,\N,main,[lykːlɒusː],adj.,\N,"<div class=""oldnorse bodytext""><i>without bend</i>.</div>",without bend.,without bend
16329,lykna,\N,main,[lykna],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to bend the knees</i>.</div>","(að), to bend the knees.",to bend the knees
16330,lykt,\N,main,[lykt],n.,f.,"<div class=""oldnorse bodytext""><i>end, conclusion</i> (sú varð l. á viðrskiptum þeirra, sem nú má heyra); <span class=""p"">esp.</span> in <span class=""p"">pl.</span>, gøra (vinna) lyktir á <span class=""p"">e-u</span>, <i>to do, perform</i>; koma málum til lykta, <i>to bring a case to a final issue</i>; leiða <span class=""p"">e-t</span> til lykta, <i>to bring to an end, finish</i>; at lyktum, <i>at last, finally</i> (þó flýði hann at lyktum); þat verðr at lyktum, at, <i>the end of it was, that</i>.</div>","end, conclusion (sú varð l. á viðrskiptum þeirra, sem nú má heyra); esp. in pl., gøra (vinna) lyktir á e-u, to do, perform; koma málum til lykta, to bring a case to a final issue; leiða e-t til lykta, to bring to an end, finish; at lyktum, at last, finally (þó flýði hann at lyktum); þat verðr at lyktum, at, the end of it was, that.","end, conclusion"
16331,lykta,\N,main,[lykta],v.,\N,"<div class=""oldnorse bodytext"">(að), <i>to bring to an end, finish</i>; <span class=""p"">impers.</span>, ~r <span class=""p"">e-u</span>, <i>it ends</i>.</div>","(að), to bring to an end, finish; impers., ~r e-u, it ends.","to bring to an end, finish"
16332,lyktalauss,\N,main,[lyktalɒusː],adj.,\N,"<div class=""oldnorse bodytext""><i>endless</i>.</div>",endless.,endless
16333,lymska,\N,main,[lymska],n.,f.,"<div class=""oldnorse bodytext""><i>wiliness, cunning</i>.</div>","wiliness, cunning.","wiliness, cunning"
16334,lymskast,\N,main,[lymskast],v. refl.,\N,"<div class=""oldnorse bodytext"">(að), <i>to steal quietly, to sneak</i> (fœrist hann á fœtr ok ~ fram at durunum).</div>","(að), to steal quietly, to sneak (fœrist hann á fœtr ok ~ fram at durunum).","to steal quietly, to sneak"
16335,lymskr,\N,main,[lymskr],adj.,\N,"<div class=""oldnorse bodytext""><i>wily, cunning</i>.</div>","wily, cunning.","wily, cunning"
