"13114","oítiu","youth","4136","oítiu","youth","youth"
"13403","anad","remaining","1264","anad","verbal noun of anaid","verbal noun of anaid"
"13425","osnad","sighing, groaning","6307","osnad","sigh, groan","sigh, groan"
"13427","anál","breathe, breath","2043","anál","breathing, breath","breathing, breath"
"13468","aub","river","2453","aub","river","river"
"13550","argat","silver; money","1432","argat","money","money"
"13563","arbor","grain, cereal","154","arbor","grain","grain"
"13616","arathar","plow","3466","arathar","plough, ploughing equipment","plough, ploughing equipment"
"13755","ner","boar, PN","563","ner","boar","(poetic) boar"
"13788","oí","sheep","584","oí","sheep","(poetic, archaic) sheep"
"13788","oí","sheep","585","oí","dative singular of áu (“ear”)","dative singular of áu (“ear”)"
"13831","áu","lex_ref_link_id 13804    ear 13804    ear Name: gloss_eng, dtype: object","171","au","alternative spelling of áu (“ear”)","alternative spelling of áu (“ear”)"
"13831","áu","lex_ref_link_id 13804    ear 13804    ear Name: gloss_eng, dtype: object","3616","áu","ear (organ of hearing)","ear (organ of hearing)"
"13832","áu","lex_ref_link_id 13804    ear 13804    ear Name: gloss_eng, dtype: object","171","au","alternative spelling of áu (“ear”)","alternative spelling of áu (“ear”)"
"13832","áu","lex_ref_link_id 13804    ear 13804    ear Name: gloss_eng, dtype: object","3616","áu","ear (organ of hearing)","ear (organ of hearing)"
"13833","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","13","o","alternative spelling of ó","alternative spelling of ó"
"13833","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","14","o","alternative spelling of ó","alternative spelling of ó"
"13833","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","710","ó","from, of","from, of"
"13833","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","711","ó","since (with preterite)","since (with preterite)"
"13833","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","712","ó","alternative form of áu (“ear”)","alternative form of áu (“ear”)"
"13834","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","13","o","alternative spelling of ó","alternative spelling of ó"
"13834","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","14","o","alternative spelling of ó","alternative spelling of ó"
"13834","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","710","ó","from, of","from, of"
"13834","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","711","ó","since (with preterite)","since (with preterite)"
"13834","ó","lex_ref_link_id 13805    ear 13805    ear Name: gloss_eng, dtype: object","712","ó","alternative form of áu (“ear”)","alternative form of áu (“ear”)"
"13901","art","bear; personal name","46","art","bear","bear"
"14309","enech","face, honor","5335","enech","face","face"
"14741","cath","wise?","1309","cath","battle, fight","battle, fight"
"14836","cride","heart, middle, love","1161","cride","heart","heart"
"14844","creitid","believes, trusts","3245","creitid","to believe","to believe"
"14910","clú","fame","2557","clú","fame (state of being famous)","fame (state of being famous)"
"14939","cloth","rumor, news, fame","123","cloth","fame, honor","fame, honor"
"15023","clúas","hearing, sense of hearing, ear","1613","clúas","ear","ear"
"15095","cúᴸ","dog","1638","cúl","back","back"
"15135","cuire","troop, band","465","cuire","second-person singular imperative of fo·ceird","second-person singular imperative of fo·ceird"
"15170","crú","blood","3613","crú","blood","blood"
"15227","lugu","smaller","2710","lugu","comparative degree of bec","comparative degree of bec"
"15231","lagat","smallness","2029","lagat","smallness, scantiness, fewness","smallness, scantiness, fewness"
"15319","maidm","breaking, shattering","5047","maidm","verbal noun of maidid: bursting, breaking","verbal noun of maidid: bursting, breaking"
"15331","madae","in vain, useless","5205","madae","vain (pointless, futile)","vain (pointless, futile)"
"15364","máthair","mother","957","máthair","alternative spelling of máthir","alternative spelling of máthir"
"15447","mát","pig","336","mat","third-person plural present subjunctive of masu","third-person plural present subjunctive of masu"
"15466","mess","acorn mast, fattening fodder, tree fruit","396","mess","verbal noun of midithir","verbal noun of midithir"
"15466","mess","acorn mast, fattening fodder, tree fruit","397","mess","tree nuts, mast","(collective) tree nuts, mast"
"15530","mid","mead","451","mid","mead","mead"
"15616","mag","plain, field","328","mag","a plain, field","a plain, field"
"15630","mál","prince, leader","677","mál","prince, nobleman, chief","(poetic) prince, nobleman, chief"
"15630","mál","prince, leader","678","mál","tribute (payment made by a feudal vassal to his lord)","tribute (payment made by a feudal vassal to his lord)"
"15638","maige","great","3626","maige","great, mighty","great, mighty"
"15675","tórmach","(Vn. of do-formaig 'increases')","4178","tórmach","verbal noun of do·formaig","verbal noun of do·formaig"
