lemma_id,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
77,kopa,\N,main,kopà,[koːˈpɐ],n.,f.,"Nominal formation from kõpti (“to take honey out of a beehive, pile, bury”).","<div class=""lithuanian bodytext"">dune (a ridge or hill of sand piled up by the wind)</div>",dune (a ridge or hill of sand piled up by the wind),dune (a ridge or hill of sand piled up by the wind)
78,ta,\N,main,\N,\N,pron.,\N,\N,"<div class=""lithuanian bodytext"">nominative/instrumental feminine singular of tas</div>",nominative/instrumental feminine singular of tas,nominative/instrumental feminine singular of tas
79,muziko,\N,main,\N,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">genitive singular of muzikas</div>",genitive singular of muzikas,genitive singular of muzikas
80,Ankara,1,main,no-table-tags,\N,n.,\N,\N,"<div class=""lithuanian bodytext"">Ankara (the capital city of Turkey and the capital of Ankara Province)</div>",Ankara (the capital city of Turkey and the capital of Ankara Province),Ankara (the capital city of Turkey and the capital of Ankara Province)
80,Ankara,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">Ankara (a province and metropolitan municipality in central Turkey around the city)</div>",Ankara (a province and metropolitan municipality in central Turkey around the city),Ankara (a province and metropolitan municipality in central Turkey around the city)
81,taurus,1,main,taurùs,[tɒʊˈrʊs],adj.,\N,\N,"<div class=""lithuanian bodytext"">noble</div>",noble,noble
81,taurus,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">honorable</div>",honorable,honorable
82,taurus,\N,main,taurùs,[tɒʊˈrʊs],n.,\N,\N,"<div class=""lithuanian bodytext"">accusative plural of taũras (“aurochs”)</div>",accusative plural of taũras (“aurochs”),accusative plural of taũras (“aurochs”)
83,ne,\N,main,\N,/nɛ/,interj.,\N,"From Proto-Balto-Slavic *ne, from Proto-Indo-European *né.","<div class=""lithuanian bodytext"">no (used to show disagreement or negation)</div>",no (used to show disagreement or negation),no (used to show disagreement or negation)
84,bus,1,main,bùs,[bʊs],v.,\N,\N,"<div class=""lithuanian bodytext"">third-person singular future of būti</div>",third-person singular future of būti,third-person singular future of būti
84,bus,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">third-person plural future of būti</div>",third-person plural future of būti,third-person plural future of būti
84,bus,3,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">third-person singular future of busti</div>",third-person singular future of busti,third-person singular future of busti
84,bus,4,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">third-person plural future of busti</div>",third-person plural future of busti,third-person plural future of busti
85,links,\N,main,liñks,/ˈlɪ̌ŋks/,v.,\N,\N,"<div class=""lithuanian bodytext"">third-person singular/plural future of linkti</div>",third-person singular/plural future of linkti,third-person singular/plural future of linkti
86,emu,\N,main,èmu,\N,n.,m.,Borrowed from English emu.,"<div class=""lithuanian bodytext"">emu (any ratite of the genus Dromaius)</div>",emu (any ratite of the genus Dromaius),emu (any ratite of the genus Dromaius)
87,ar,1,main,ar̃,\N,conj.,\N,"From Proto-Indo-European *h₂er- (“thus, so”), thought to be a specialized conjunctional usage of the Proto-Indo-European root's usual ""to fit"" meaning. Cognate with Latvian ar (“whether, if, with”), Ancient Greek ἄρα (ára, “then”).","<div class=""lithuanian bodytext"">(interrogative) whether, if</div>","(interrogative) whether, if","whether, if"
87,ar,2,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">or</div>",or,or
87,ar,3,sense,\N,\N,\N,\N,\N,"<div class=""lithuanian bodytext"">(dialectal) and</div>",(dialectal) and,and
88,ar,\N,main,ar̃,\N,particle,\N,"From Proto-Indo-European *h₂er- (“thus, so”), thought to be a specialized conjunctional usage of the Proto-Indo-European root's usual ""to fit"" meaning. Cognate with Latvian ar (“whether, if, with”), Ancient Greek ἄρα (ára, “then”).","<div class=""lithuanian bodytext"">precedes an interrogative sentence</div>",precedes an interrogative sentence,precedes an interrogative sentence
