lemma_id,lemma,sense_id,sense_entry,proposed_resolved_meaning
88300,paṇāya (पणाय),37473,"paṇāya (पणाय)   Nom. P. Ā. °yati (°यति) id., Pāṇ. iii, 1, 28; Naigh. iii, 14 (v.l. °te (°ते)); to sell (inf. °yitum (°यितुम्)), Kathās.","Nom. P. Ā. °yati (°यति), to honour, praise, L."
88813,padanyāsa (पदन्यास),37697,"conduct, procedure (?) id.","putting down the feet, step, footmark, MBh.; R. &amp;c."
89372,param (परम्),37979,"but, however, otherwise (paraṃ tu (परं तु) or paraṃ kiṃ tu (परं किं तु) id.; yadi p° (यदि प्°), if at all, perhaps, at any rate; na-p° (न-प्°), not-but; na p°araṃ-api (न प्°अरं-अपि), not only-but also; paraṃ na-api na (परं न-अपि न), not only not-but not even; na p°araṃ-yāvat (न प्°अरं-यावत्), not only-but even), ib.","(am (अम्)), ind. afterwards, later"
89951,paras (परस्),38118,(with instr.) id. (also para énā (पर एना) or enā páraḥ (एना परः)),"beyond, further, off, away"
93582,pāñcālya (पाञ्चाल्य),39566,"pāñcālya (पाञ्चाल्य)   m. = id. m., MBh.", = °cāla (°चाल) mfn.
95711,pitrya (पित्र्य),40509,"relating or consecrated to the phitṛ (फित्ṛ)s, Mn.; MBh. &amp;c. (with tīrtha (तीर्थ) n. = pitṛ-t° (पितृ-त्°), Mn. ii, 59; with diś (दिश्) f. the south, ŚāṅkhGṛ.; with pra-diś (प्र-दिश्) id., RV.)","mf(ā (आ))n. derived from or relating to a father, paternal, patrimonial, ancestral, RV. &amp;c. &amp;c."
103526,pratyāhāra (प्रत्याहार),43655,"sound, ib. (prob. w.r. for id.)","drawing back (troops from a battle), retreat, MBh."
104759,pramedita (प्रमेदित),44173,"one who has begun to show affection, Bhaṭṭ. (-vat (-वत्) mfn. id., Pāṇ. i, 2, 19)","one who has begun to show affection, Bhaṭṭ. (-vat (-वत्) mfn. id., Pāṇ. i, 2, 19)"
105088,prayojana (प्रयोजन),44351,"°na-vaśāt (°न-वशात्) id., Pañcat.","(ifc. f(ā (आ)). ) occasion, object, cause, motive, opportunity, purpose, design, aim, end, Prāt.; MBh.; Kāv. &amp;c."
105088,prayojana (प्रयोजन),44353,"kasmai prayoja°nāya (कस्मै प्रयोज°नाय), kasmāt prayoja°nāt (कस्मात् प्रयोज°नात्), kasya prayojanasya (कस्य प्रयोजनस्य) and kasmin prayoja°ne (कस्मिन् प्रयोज°ने) id., Kāś. on Pāṇ. ii, 3, 27","(ifc. f(ā (आ)). ) occasion, object, cause, motive, opportunity, purpose, design, aim, end, Prāt.; MBh.; Kāv. &amp;c."
