global_index,file_part,entry_uid,entry_id,headword,pos,gender,page_start,page_end,senses_json,translations_json,etymologies_json,citations_json,biblio_json,gramgrp_json,xrefs_json,has_sense,has_tr,has_etym,has_cit,has_xref,sense_count,tr_count,etym_count,cit_count
37015,5,7162,n37015,ἐξαφᾰνίζω,,,587,,"[""destroy utterly, Παι<>δων ἀγόνων γόνον ἐ. Eub. 107.11 ; γένος J. AJ 3.15.1 ; τι τῆς μνήμης ἐκκάθαιρε καὶ ἐ. Iamb. Protr. 21 .κθ́:— Pass. ,disappear utterly, Pl. Plt. 270e , Sor. 1.34 .""]","[""destroy utterly,"",""disappear utterly,""]",[],"[{""biblio"":"""",""quote"":""γένος""},{""biblio"":""J. | AJ | 3.15.1"",""quote"":""γένος J. AJ 3.15.1""},{""biblio"":"""",""quote"":""τι τῆς μνήμης ἐκκάθαιρε καὶ ἐ.""},{""biblio"":""Iamb. | Protr. | 21"",""quote"":""τι τῆς μνήμης ἐκκάθαιρε καὶ ἐ. Iamb. Protr. 21""}]","[""Iamb. | Protr. | 21"",""J. | AJ | 3.15.1""]",{},[],1,1,0,1,0,1,2,0,4
37016,5,7163,n37016,ἑξᾰφάρμᾰκον,,τό,587,,"[""remedy containing six ingredients, Orib. Fr. 89 .""]","[""remedy containing six ingredients,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37017,5,7164,n37017,ἐξαφεδρόομαι,,,587,,"[""to be excreted, νοστίμου αἵματος -ουμένου dub. in Herm. ap. Stob. 1.42.7 codd.;v. ἐξαφρόομαι.""]","[""to be excreted,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37018,5,7165,n37018,ἐξᾰφή,,ἡ,587,,"[""contact, Gloss.""]","[""contact,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37019,5,7166,n37019,ἐξαφ-ίημι,,,587,,"[""send forth, discharge,[παλτόν] X. Eq. 12.12 ;dispatch, γροσφομάχους Plb. 10.39.1 ;let go an elastic board, Aët. 6.87 ."",""set free from, ἐξαφεῖται τοῦδε(sc.τοῦ πονεῖν) S. Tr. 72 , cf. J. AJ 18.1.1 ;set free, ἐ. σῶον LXX 2 Ma. 12.24 ;let loose, ἀγέλας εἰς καρπούς PLips. 35.8 (iv A.D.):— Pass. ,to be allowed to escape, J. BJ 4.6.3 ."",""squander, πλοῦτον S. Ichn. 156 .""]","[""send forth, discharge,"",""dispatch,"",""let go"",""set free from,"",""set free,"",""let loose,"",""to be allowed to escape,"",""squander,""]",[],"[{""biblio"":"""",""quote"":""γροσφομάχους""},{""biblio"":""Plb. | 10.39.1"",""quote"":""γροσφομάχους Plb. 10.39.1""},{""biblio"":"""",""quote"":""ἐ. σῶον""},{""biblio"":""LXX | 2 Ma. | 12.24"",""quote"":""ἐ. σῶον LXX 2 Ma. 12.24""},{""biblio"":"""",""quote"":""ἀγέλας εἰς καρπούς""},{""biblio"":""PLips. | 35.8"",""quote"":""ἀγέλας εἰς καρπούς PLips. 35.8""},{""biblio"":"""",""quote"":""πλοῦτον""},{""biblio"":""S. | Ichn. | 156"",""quote"":""πλοῦτον S. Ichn. 156""}]","[""LXX | 2 Ma. | 12.24"",""PLips. | 35.8"",""Plb. | 10.39.1"",""S. | Ichn. | 156""]",{},[],1,1,0,1,0,3,8,0,8
37020,5,7167,n37020,ἐξάφ-ινα,,,587,,"[""= ἐξαίφνης , Bell Jews and Christians in Egypt,No. 1914.3 (iv A. D.).""]","[""Jews and Christians in Egypt,""]",[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""ἐξαίφνης""},{""type"":"""",""target"":"""",""text"":""= ἐξαίφνης""}]",1,1,0,0,1,1,1,0,0
37021,5,7168,n37021,ἐξαφ-ίστημι,,,587,,"[""remove, αἱ ἁμαρτίαι . . ἐξαπέστησαν τὰ ἀγαθὰ ἀφ' ὑμῶν v.l. in LXX Je. 5.25 ."",""dispatch, ἐφ' οὓς καθήκει BGU 1253.16 (ii B.C.)."",""Pass. , with aor. 2,pf., and plpf. Act. ,depart or withdraw from, τινός S. OC 561 , E. IA 479 ;grow out of, ἡλικίας PLond. 5.1708.263 (vi A. D.).""]","[""remove,"",""dispatch,"",""depart"",""withdraw from,"",""grow out of,""]",[],"[{""biblio"":"""",""quote"":""ἐφ' οὓς καθήκει""},{""biblio"":""BGU | 1253.16"",""quote"":""ἐφ' οὓς καθήκει BGU 1253.16""},{""biblio"":"""",""quote"":""τινός""},{""biblio"":""S. | OC | 561"",""quote"":""τινός S. OC 561""},{""biblio"":"""",""quote"":""ἡλικίας""},{""biblio"":""PLond. | 5.1708.263"",""quote"":""ἡλικίας PLond. 5.1708.263""}]","[""BGU | 1253.16"",""PLond. | 5.1708.263"",""S. | OC | 561""]",{},[],1,1,0,1,0,3,5,0,6
37022,5,7169,n37022,ἐξαφολέκτης,,,587,,"[""ἐξαφολέκτης, sine expl., Hsch. ἐξαφορήσωσιν: εὐπορίσωσιν,Id.""]",[],[],[],[],{},[],1,0,0,0,0,1,0,0,0
37023,5,7170,n37023,ἑξάφορον,,τό,587,,"[""litter borne by six men, Mart. 2.81.1 ."",""ἑξάφοροι,οἱ,bearers of such a litter, Vitr. 10.3.7 .""]","[""litter borne by six men,"",""bearers of such a litter,""]",[],[],[],{},[],1,1,0,0,0,2,2,0,0
37024,5,7171,n37024,ἐξαφρ-ίζω,,,587,,"[""remove the froth by boiling,τὸ ἐξηφρισμένον [μέλι]despumated, Dsc. 2.82.3 :— Med. , metaph. from a horse, αἱματηρὸν ἐξαφρίζεσθαι μένος exhaust by foaming, A. Ag. 1067 .""]","[""remove the froth"",""despumated,"",""exhaust by foaming,""]",[],"[{""biblio"":"""",""quote"":""αἱματηρὸν ἐξαφρίζεσθαι μένος""},{""biblio"":""A. | Ag. | 1067"",""quote"":""αἱματηρὸν ἐξαφρίζεσθαι μένος exhaust by foaming, A. Ag. 1067""}]","[""A. | Ag. | 1067""]",{},[],1,1,0,1,0,1,3,0,2
37025,5,7172,n37025,ἐξαφρ-όομαι,,,587,,"[""turn into foam,cj. in Herm. ap. Stob. 1.42.7 (-αφεδρ-codd.).""]","[""turn into foam,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37026,5,7173,n37026,ἐξᾰφύω,,,587,,"[""draw forth, οἶνον . . ἐξαφύοντες Od. 14.95 : poet.aor., ἰὸν ἐξήφυσσεν ὀδόντων Opp. H. 1.573 : Ep. fut. 3 pl.,ἐξαφύουσιν: ἐξαντλήσουσιν, Hsch.""]","[""draw forth,""]",[],"[{""biblio"":"""",""quote"":""οἶνον . . ἐξαφύοντες""},{""biblio"":""Od. | 14.95"",""quote"":""οἶνον . . ἐξαφύοντες Od. 14.95""},{""biblio"":"""",""quote"":""ἰὸν ἐξήφυσσεν ὀδόντων""},{""biblio"":""Opp. | H. | 1.573"",""quote"":""ἰὸν ἐξήφυσσεν ὀδόντων Opp. H. 1.573""}]","[""Od. | 14.95"",""Opp. | H. | 1.573""]",{},[],1,1,0,1,0,1,1,0,4
37027,5,7174,n37027,ἑξά-χαλκος,,ὁ,587,,"[""coin of the value of six χαλκοῖ, IG 5(1).1433.29 (Messene).""]","[""coin of the value of six""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37028,5,7175,n37028,ἑξά-χειρ,,ὁ,587,,"[""six-handed, Luc. Herm. 74 , Tox. 62 :— also ἑξά-χειρος,ον, Ps.-Callisth. 3.28 .""]","[""six-handed,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37029,5,7176,n37029,ἑξα-χῇ,Adv.,,587,,"[""in six parts, σχίσας Pl. Ti. 36d ;in six ways, κινεῖσθαι Ph. 1.44 :—also ἕξαχα, Hdn.Gr. 1.496 .""]","[""in six parts,"",""in six ways,""]",[],"[{""biblio"":"""",""quote"":""σχίσας""},{""biblio"":""Pl. | Ti. | 36d"",""quote"":""σχίσας Pl. Ti. 36d""},{""biblio"":"""",""quote"":""κινεῖσθαι""},{""biblio"":""Ph. | 1.44"",""quote"":""κινεῖσθαι Ph. 1.44""}]","[""Ph. | 1.44"",""Pl. | Ti. | 36d""]",{},[],1,1,0,1,0,1,2,0,4
37030,5,7177,n37030,ἑξα-χοίνῐκος,,,587,,"[""containing six choenices, Ar. Fr. 640 .""]","[""containing six choenices,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37031,5,7178,n37031,ἑξά-χοος,,,587,589,"[""holding six χόες, Arist. Ath. 67.2 , Plu. Sol. 23 .""]","[""holding six""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37032,5,7179,n37032,ἑξά-χρονος,,,587,,"[""of six times,[πούς] Heph. 3.2 , cf. Procl. in Prm. p.990S.""]","[""of six times,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
37033,5,7180,n37033,ἐξᾰχῠρόω,,,587,,"[""clear of husks, Hsch. s.v. λεπυριῶσαι.""]","[""clear of husks,""]",[],[],[],{},"[{""type"":""ref"",""target"":"""",""text"":""λεπυριῶσαι.""},{""type"":"""",""target"":"""",""text"":""s.v. λεπυριῶσαι.""}]",1,1,0,0,1,1,1,0,0
37034,5,7181,n37034,ἑξᾰχῶς,Adv.,,587,,"[""in six ways, Arist. Top. 112b27 , Gal. 9.702 .""]","[""in six ways,""]",[],[],[],{},[],1,1,0,0,0,1,1,0,0
