lemma_id,lang,lemma,sense_num,type,orthography,ipa,pos,gender,etymology,entry,entry_str,gloss
856,OIr.,lige,4,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">(figuratively) grave</div>",(figuratively) grave,grave
857,OIr.,lige,2,main,\N,/ˈl̠ʲi.ɣʲe/,n.,\N,From lig(id) + -e,"<div class=""oldirish bodytext"">verbal noun of ligid: licking</div>",verbal noun of ligid: licking,verbal noun of ligid: licking
858,OIr.,ebla,\N,main,·ebla,/ˈe.βla/,v.,\N,\N,"<div class=""oldirish bodytext"">third-person singular future conjunct of aigid</div>",third-person singular future conjunct of aigid,third-person singular future conjunct of aigid
858,OIr.,ebla,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">third-person singular future conjunct of ailid</div>",third-person singular future conjunct of ailid,third-person singular future conjunct of ailid
859,OIr.,bó,\N,main,bóu,/ˈboː/,n.,\N,"From Proto-Celtic *bāus, from Proto-Indo-European *gʷṓws.","<div class=""oldirish bodytext"">ox, cow</div>","ox, cow","ox, cow"
860,OIr.,cote,\N,main,\N,/ˈko.d̠ʲe/,particle,\N,Univerbation of co (“how”) + de (“from it”).,"<div class=""oldirish bodytext"">of what sort is…?</div>",of what sort is…?,of what sort is…?
860,OIr.,cote,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">what is…?</div>",what is…?,what is…?
861,OIr.,cathair,\N,main,cathrach,/ˈka.θəɾʲ/,n.,\N,"From Proto-Celtic *katrixs (“fortification”), an unusual formation; possibly cognate with Old English hēaþor (“enclosure, prison”) or Serbo-Croatian kȍtar (“administrative unit, province”), and the a-vocalism suggests that all three could have been borrowed from a non-Indo-European substrate. Pokorny instead derives it from Proto-Indo-European *kat- (“to link or weave together; chain, net”), with Latin casa as another possible cognate.","<div class=""oldirish bodytext"">stone enclosure, fortress, castle; dwelling</div>","stone enclosure, fortress, castle; dwelling","stone enclosure, fortress, castle; dwelling"
861,OIr.,cathair,2,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">monastic settlement, enclosure; monastery, convent</div>","monastic settlement, enclosure; monastery, convent","monastic settlement, enclosure; monastery, convent"
861,OIr.,cathair,3,sense,\N,\N,\N,\N,\N,"<div class=""oldirish bodytext"">fortified city, city</div>","fortified city, city","fortified city, city"
