id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss
6777,altāre,20674,NULL,NULL,NULL
6799,derbita,29926,NULL,NULL,NULL
6803,duae,30982,NULL,NULL,NULL
6805,conditum,31372,NULL,NULL,NULL
6823,sunt,37077,NULL,NULL,NULL
6840,iūgera,46138,NULL,NULL,NULL
6863,clepta,51388,NULL,NULL,NULL
6890,melca,58517,NULL,NULL,NULL
6899,neriōsus,61050,NULL,NULL,NULL
6907,osseum,62097,NULL,NULL,NULL
6945,crocina,72228,NULL,NULL,NULL
6974,templa,79720,NULL,NULL,NULL
6989,Venus,84780,NULL,NULL,NULL
6999,reddere,1048,NULL,NULL,NULL
7000,reddidī,1079,NULL,NULL,NULL
7027,pungere,5825,NULL,NULL,NULL
7036,reddere,9991,NULL,NULL,NULL
7038,biduum,10267,NULL,NULL,NULL
7076,amma,20994,NULL,NULL,NULL
7077,ānsae,21494,NULL,NULL,NULL
7078,antārium,21555,NULL,NULL,NULL
7080,auxilis,23255,NULL,NULL,NULL
7088,fulgus,25383,NULL,NULL,NULL
7092,fuam,26692,NULL,NULL,NULL
7093,bō,26695,NULL,NULL,NULL
7094,futāuit,26696,NULL,NULL,NULL
7102,biduum,28627,NULL,NULL,NULL
7108,domuī,29420,NULL,NULL,NULL
7116,emem,33888,NULL,NULL,NULL
7126,estis,37076,NULL,NULL,NULL
7175,clocca,51159,NULL,NULL,NULL
7184,quae,53509,NULL,NULL,NULL
7199,relicuos,55098,NULL,NULL,NULL
7237,plēmināre,63113,NULL,NULL,NULL
7239,plēmināre,63138,NULL,NULL,NULL
7242,pollenta,63308,NULL,NULL,NULL
7247,prī,63920,NULL,NULL,NULL
7285,hapia,71478,NULL,NULL,NULL
7316,tōnsillae,79962,NULL,NULL,NULL
7345,fremere,454,NULL,NULL,NULL
7388,iteris,12237,NULL,NULL,NULL
7406,rūbius,17068,NULL,NULL,NULL
7413,statum,18125,NULL,NULL,NULL
7421,anatīna,21238,NULL,NULL,NULL
7434,barmbraccus,27496,NULL,NULL,NULL
7437,agedum,28424,NULL,NULL,NULL
7438,manedum,28425,NULL,NULL,NULL
7447,fōculum,31655,NULL,NULL,NULL
7466,Eprius,36187,NULL,NULL,NULL
7467,triresmom,36943,NULL,NULL,NULL
7488,boue,45016,NULL,NULL,NULL
7504,catanus,47937,NULL,NULL,NULL
7518,cacillāre,51840,NULL,NULL,NULL
7597,cōnsulere,69378,NULL,NULL,NULL
7624,prosternere,77669,NULL,NULL,NULL
7632,tōlēs,79961,NULL,NULL,NULL
7638,tetrax,80606,NULL,NULL,NULL
7646,uolēmum,82520,NULL,NULL,NULL
7648,uatāx,82617,NULL,NULL,NULL
7657,uerberāre,85152,NULL,NULL,NULL
7673,crēuī,3625,NULL,NULL,NULL
7674,crēuī,4102,NULL,NULL,NULL
7681,pacunt,5550,NULL,NULL,NULL
7696,imbus,9696,NULL,NULL,NULL
7715,aeuus,13014,NULL,NULL,NULL
7722,nouior,16208,NULL,NULL,NULL
7726,patrem,16631,NULL,NULL,NULL
7739,aeuus,20092,NULL,NULL,NULL
7741,ancrae,21405,NULL,NULL,NULL
7746,bēbō,23717,NULL,NULL,NULL
7750,uidubium,24946,NULL,NULL,NULL
