id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss,lemma
5808,itum,12281,NULL,NULL,NULL,itum
5814,iuga,14513,NULL,NULL,NULL,iuga
5815,iugulae,14582,NULL,NULL,NULL,iugulis
5817,cōtēs,14677,NULL,NULL,NULL,cōtēs
5819,leuior,15175,NULL,NULL,NULL,leuis
5833,ammentum,19445,NULL,NULL,NULL,ammentum
5834,exigere,19466,NULL,NULL,NULL,exigo
5836,acuere,20196,NULL,NULL,NULL,acuo
5842,uentilāre,23091,NULL,NULL,NULL,uentilāre
5844,ballāre,23590,NULL,NULL,NULL,ballāris
5845,Baunonia,24321,NULL,NULL,NULL,baunonius
5846,broccus,24437,NULL,NULL,NULL,broccus
5848,blatea,25008,NULL,NULL,NULL,blateus
5855,dacruma,28299,NULL,NULL,NULL,dacruma
5862,δρυναίμετον,30235,NULL,NULL,NULL,
5877,aiiō,34426,NULL,NULL,NULL,aiiō
5880,enter,35667,NULL,NULL,NULL,ensto
5881,interus,35674,NULL,NULL,NULL,interus
5884,tūne,36074,NULL,NULL,NULL,tūne
5895,hippitāre,41538,NULL,NULL,NULL,hippitāeo
5897,uallessit,44382,NULL,NULL,NULL,uallo
5902,iugulae,46131,NULL,NULL,NULL,iugula
5908,cicendula,47046,NULL,NULL,NULL,cicendulo
5912,cotes,47935,NULL,NULL,NULL,cotes
5922,coirauit,51829,NULL,NULL,NULL,coiro
5923,cūcurriō,51860,NULL,NULL,NULL,
5926,obscaenus,52610,NULL,NULL,NULL,obscaenus
5927,inquināre,52611,NULL,NULL,NULL,inquināe
5934,laudāre,55950,NULL,NULL,NULL,laudāo
5936,luxāre,56111,NULL,NULL,NULL,luxāes
5938,loucom,56284,NULL,NULL,NULL,louius
5954,ēmendāre,58883,NULL,NULL,NULL,ēmendāo
5955,manganum,58976,NULL,NULL,NULL,manganus
5961,Nōdenti,61252,NULL,NULL,NULL,nōdentus
5966,Opscī,61955,NULL,NULL,NULL,Opscī
5987,rētāre,67295,NULL,NULL,NULL,rētāea
6005,sarpiō,70170,NULL,NULL,NULL,sarpiō
6012,scarpinat,72320,NULL,NULL,NULL,scarpino
6014,scrautum,72519,NULL,NULL,NULL,scrauo
6016,nēmen,74150,NULL,NULL,NULL,nēmen
6022,σπιθάμη,74796,NULL,NULL,NULL,σπιθάμη
6026,despondēre,75100,NULL,NULL,NULL,despondēo
6032,sulpur,78653,NULL,NULL,NULL,sulpus
6037,mālobathrum,79677,NULL,NULL,NULL,mālobo
6048,tongeō,81160,NULL,NULL,NULL,
6058,uolgus,84278,NULL,NULL,NULL,uolgus
6065,flāgō,359,NULL,NULL,NULL,flāgō
6070,ēsse,2322,NULL,NULL,NULL,ēsse
6075,lūcēre,4877,NULL,NULL,NULL,lūcēes
6077,adnuī,5468,NULL,NULL,NULL,adnus
6082,sūxī,6703,NULL,NULL,NULL,sūxī
6083,carrō,6988,NULL,NULL,NULL,carrō
6101,heredei,12022,NULL,NULL,NULL,heredior
6102,ēsse,12083,NULL,NULL,NULL,ēsse
6103,praitor,12250,NULL,NULL,NULL,praitor
6107,arua,13574,NULL,NULL,NULL,arua
6111,iniuges,14504,NULL,NULL,NULL,inius
6115,mollior,15673,NULL,NULL,NULL,bollis
6120,ādes,16238,NULL,NULL,NULL,ādes
6130,instaurāre,18021,NULL,NULL,NULL,instaurāe
6134,indigitāre,19463,NULL,NULL,NULL,indigitāo
6139,pōrcet,21813,NULL,NULL,NULL,pōrceo
6141,boāre,23797,NULL,NULL,NULL,boāre
6158,Decumius,29009,NULL,NULL,NULL,decum
6161,Truentus,29683,NULL,NULL,NULL,truo
6163,danunt,30711,NULL,NULL,NULL,do
6164,crēdere,31394,NULL,NULL,NULL,crēdus
6171,eira,34936,NULL,NULL,NULL,eira
6173,emptum,35500,NULL,NULL,NULL,eo
6174,erat,37157,NULL,NULL,NULL,sum
6177,Zypressenzapfen,38133,NULL,NULL,NULL,Zypressenzapfen
6178,glūttō,38518,NULL,NULL,NULL,glūttō
6180,ignārurēs,39198,NULL,NULL,NULL,ignārurēs
6187,exippitāre,41539,NULL,NULL,NULL,exippetārio
6202,facētiae,45683,NULL,NULL,NULL,facētia
6210,aucupāre,47085,NULL,NULL,NULL,aucupāes
6213,carrō,47387,NULL,NULL,NULL,carrō
6220,carpisculum,50158,NULL,NULL,NULL,carpisculus
6226,cluuior,51502,NULL,NULL,NULL,cluuus
6227,clunāculum,51624,NULL,NULL,NULL,clunāculum
6229,citimus,51715,NULL,NULL,NULL,cito
6239,lallus,53885,NULL,NULL,NULL,lallus
6241,neglegere,54353,NULL,NULL,NULL,neglego
6262,ossu,62098,NULL,NULL,NULL,os
6267,paca,62359,NULL,NULL,NULL,paca
6268,tribřic̨u,62610,NULL,NULL,NULL,tribřic̨us
6269,pēminōsus,62657,NULL,NULL,NULL,pēminōsus
6274,imperāre,64336,NULL,NULL,NULL,imperāes
6278,patre,65011,NULL,NULL,NULL,pater
6280,plācāre,65126,NULL,NULL,NULL,plācāo
6293,sūdum,68189,NULL,NULL,NULL,sūdus
6313,screa,72443,NULL,NULL,NULL,screa
6322,praestināre,76009,NULL,NULL,NULL,praestināre
6326,instaurāre,76281,NULL,NULL,NULL,instaurāe
6329,stlatta,76905,NULL,NULL,NULL,stlatta
6361,uolupe,84232,NULL,NULL,NULL,uolus
6368,gnōuī,1538,NULL,NULL,NULL,gngo
6370,offendere,2171,NULL,NULL,NULL,offendo
6371,ier,2363,NULL,NULL,NULL,ier
6372,ēgī,2700,NULL,NULL,NULL,ēgī
6373,icō,2737,NULL,NULL,NULL,icō
6374,hausī,2943,NULL,NULL,NULL,hausī
6377,dēlēre,3208,NULL,NULL,NULL,dēlēir
6378,cecidī,3488,NULL,NULL,NULL,cecidulum
6379,perculī,3908,NULL,NULL,NULL,perculī
6380,cecidī,4015,NULL,NULL,NULL,cecidulum
6381,quiēuī,4457,NULL,NULL,NULL,quiēus
6383,luere,4835,NULL,NULL,NULL,luo
6384,misc,5011,NULL,NULL,NULL,misc
6385,plexī,5919,NULL,NULL,NULL,
6387,sarsī,6650,NULL,NULL,NULL,sarsī
6390,spepondī,7251,NULL,NULL,NULL,spepon
6391,sprēuī,7353,NULL,NULL,NULL,sprēuī
6394,attulat,7870,NULL,NULL,NULL,attulo
6398,tuī,8131,NULL,NULL,NULL,tuī
6400,uorrī,8865,NULL,NULL,NULL,uorr
6418,Iouuem,12617,NULL,NULL,NULL,iosus
6421,aureae,14419,NULL,NULL,NULL,aurea
