lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
36949,eirr,chariot warrior,5221,eirr,a chariot-fighter,a chariot-fighter
37230,inathar,entrails,3619,inathar,intestines,intestines
37650,gairm,"tone, sound",1896,gairm,verbal noun of gairid,verbal noun of gairid
37984,glicc,sapiens,2091,glicc,"shrewd, ingenious, skilled, acute","shrewd, ingenious, skilled, acute"
38195,glūn,knee,1541,glún,knee,knee
38366,gelid,"consumes, eats, grazes",418,gelid,"to graze, consume","to graze, consume"
38482,gel,"luminous, white",257,gel,bright,bright
38500,gulban,"sting, beak",5646,gulban,beak,beak
38857,aicned,nature,2142,aicned,"inherent quality, essence, nature","inherent quality, essence, nature"
38964,gein,birth,1636,gein,verbal noun of gainithir,verbal noun of gainithir
39041,ingnad,foreign,5943,ingnad,"strange, unusual, unfamiliar","strange, unusual, unfamiliar"
39573,gerbach,wrinkled,1993,gerbach,"scabby, mangy","scabby, mangy"
39839,grān,"grain, kernel",1153,grán,grain (harvested seeds of various grass-related food crops),grain (harvested seeds of various grass-related food crops)
39927,gāu,lie,4454,gáu,"lie, falsehood","lie, falsehood"
40305,togu,"choose, choice",2165,togu,verbal noun of do·goa: choice,verbal noun of do·goa: choice
40667,giugrann,goose,6265,giugrann,barnacle goose,barnacle goose
40739,gaibid,"takes, seizes etc.",3214,gaibid,"to hold, grasp","to hold, grasp"
40740,gabal,the taking,3191,gabál,taking (into possession),taking (into possession)
40854,gaë,spear,1556,gae,spear,spear
40960,gataid,steals,3199,gataid,"to take away, to remove","to take away, to remove"
40994,guth,voice,975,guth,voice,voice
41029,gāu,"untruth, lie",4454,gáu,"lie, falsehood","lie, falsehood"
41119,duine,human,732,duine,"person, human being","person, human being"
41122,doíni,"people, folk",4017,doíni,nominative/vocative/accusative plural of duine,nominative/vocative/accusative plural of duine
41857,gel,"luminous, white",257,gel,bright,bright
42463,céimm,step,4147,céimm,verbal noun of cingid,verbal noun of cingid
42736,garait,short,1163,garait,short,short
44092,bethu,life,3841,bethu,life,life
