index_token,index_sentence,string,pos,lemma,stem,dependency_relation,governor,features,category,syllables,phonetic_transcription,book_num,chapter_num,line_num
5,328,fortunae,noun,fortuna,fortun,nmod,7,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['for', 'tu', 'nae']",[fɔrt̪ʊn̪aj],2,\N,P4
6,328,tuae,determiner,tuus,tu,det,5,"{Case: [genitive], Gender: [feminine], InflClass: [ind_eur_a], Number: [singular, psor], Person: [psor], Possessive: [pos], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['tu', 'ae']",[t̪ʊjaj],2,\N,P4
7,328,censu,noun,census,cens,obl,9,"{Case: [ablative], Gender: [masculine], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [neg]}","['cen', 'su']",[keːn̪sʊ],2,\N,P4
8,328,pretiosissimum,adjective,pretuosus,pretiosissim,xcomp,9,"{Case: [nominative], Degree: [absolute_superlative], Gender: [neuter], InflClass: [ind_eur_o], Number: [singular]}","{F: [neg], N: [pos], V: [pos]}","['pre', 'ti', 'o', 'sis', 'si', 'mum']",[prɛt̪ɪ̣jɔsɪssɪmũː],2,\N,P4
9,328,possidebas,verb,possideo,possideb,root,-1,"{Aspect: [imperfective], InflClass: [lat_e], Mood: [indicative], Number: [singular], Person: [second], Tense: [present], VerbForm: [finite], Voice: [active]}","{F: [neg], N: [neg], V: [pos]}","['pos', 'si', 'de', 'bas']",[pɔssɪd̪ɛbas],2,\N,P4
10,328,id,pronoun,is,id,obj,9,"{Case: [accusative], Gender: [neuter], InflClass: [lat_pron], Number: [singular], Person: [third], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}",['id'],[ɪd̪],2,\N,P4
11,328,tibi,pronoun,tu,tib,obl:arg,13,"{Case: [dative], InflClass: [lat_anom], Number: [singular], Person: [second], PronominalType: [personal]}","{F: [pos], N: [pos], V: [neg]}","['ti', 'bi']",[t̪ɪbɪ],2,\N,P4
12,328,diuinitus,adverb,diuinitus,diuinit,advmod,13,\N,"{F: [neg], N: [pos], V: [pos]}","['di', 'u', 'i', 'ni', 'tus']",[d̪ɪwɪn̪ɪt̪ʊs],2,\N,P4
13,328,inlaesum,verb,inlaedero,inlaes,acl,10,"{Aspect: [perfective], Case: [nominative], Gender: [neuter], InflClass: [lat_e, nominal], Number: [singular], VerbForm: [participle], Voice: [passive]}","{F: [neg], N: [neg], V: [pos]}","['in', 'lae', 'sum']",[ɪn̪lajsũː],2,\N,P4
14,328,adhuc,adverb,adhuc,adhuc,advmod:tmod,15,{AdverbialType: [time]},"{F: [neg], N: [pos], V: [pos]}","['ad', 'huc']",[ad̪hʊk],2,\N,P4
